"year","category","actor","movie","winner","id"
1991.0,"actress in a leading role","Jodie Foster","The Silence of the Lambs",1.0,763
1991.0,"actor in a leading role","Anthony Hopkins","The Silence of the Lambs",1.0,90
1991.0,"actor in a supporting role","Jack Palance","City Slickers",1.0,628
1990.0,"actor in a leading role","Jeremy Irons","Reversal of Fortune",1.0,720
1990.0,"actor in a supporting role","Joe Pesci","Good Fellas",1.0,767
1990.0,"actress in a supporting role","Whoopi Goldberg","Ghost",1.0,1516
1990.0,"actress in a leading role","Kathy Bates","Misery",1.0,869
1989.0,"actress in a supporting role","Brenda Fricker","My Left Foot",1.0,173
1989.0,"actress in a leading role","Jessica Tandy","Driving Miss Daisy",1.0,732
1989.0,"actor in a supporting role","Denzel Washington","Glory",1.0,310
1989.0,"actor in a leading role","Daniel Day Lewis","My Left Foot",1.0,284
1988.0,"actor in a leading role","Dustin Hoffman","Rain Man",1.0,349
1988.0,"actress in a leading role","Jodie Foster","The Accused",1.0,762
1988.0,"actress in a supporting role","Geena Davis","The Accidental Tourist",1.0,452
1988.0,"actor in a supporting role","Kevin Kline","A Fish Called Wanda",1.0,881
1987.0,"actor in a supporting role","Sean Connery","The Untouchables",1.0,1341
1987.0,"actress in a leading role","Cher","Moonstruck",1.0,239
1987.0,"actor in a leading role","Michael Douglas","Wall Street",1.0,1075
1987.0,"actress in a supporting role","Olympia Dukakis","Moonstruck",1.0,1148
1986.0,"actor in a leading role","Paul Newman","The Color of Money",1.0,1171
1986.0,"actor in a supporting role","Michael Caine","Hannah and Her Sisters",1.0,1070
1986.0,"actress in a leading role","Marlee Matlin","Children of a Lesser God",1.0,996
1986.0,"actress in a supporting role","Dianne Wiest","Hannah and Her Sisters",1.0,329
1985.0,"actress in a leading role","Geraldine Page","The Trip to Bountiful",1.0,491
1985.0,"actor in a leading role","William Hurt","Kiss of the Spider Woman",1.0,1529
1985.0,"actress in a supporting role","Anjelica Huston","Prizzi's Honor",1.0,58
1985.0,"actor in a supporting role","Don Ameche","Cocoon",1.0,334
1984.0,"actor in a supporting role","Haing S. Ngor","The Killing Fields",1.0,541
1984.0,"actress in a supporting role","Peggy Ashcroft","A Passage to India",1.0,1179
1984.0,"actor in a leading role","F. Murray Abraham","Amadeus",1.0,416
1984.0,"actress in a leading role","Sally Field","Places in the Heart",1.0,1324
1983.0,"actress in a leading role","Shirley MacLaine","Terms of Endearment",1.0,1362
1983.0,"actress in a supporting role","Linda Hunt","The Year of Living Dangerously",1.0,940
1983.0,"actor in a leading role","Robert Duvall","Tender Mercies",1.0,1271
1983.0,"actor in a supporting role","Jack Nicholson","Terms of Endearment",1.0,619
